"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14696","QB","Scott","Tolzien","0","0","5300","GB@CHI","GB","CHI","","","",""
"22219","WR","Jermaine","Kearse","5.4","15","5300","SEA@STL","SEA","STL","","","",""
"6844","QB","Shaun","Hill","10.8","9","5300","MIN@SF","MIN","SF","","","",""
"6870","TE","Vernon","Davis","3.6","14","5300","MIN@SF","SF","MIN","","","",""
"31836","WR","Terrance","Williams","8","16","5300","NYG@DAL","DAL","NYG","","","",""
"22054","WR","Jarius","Wright","6.2","16","5300","MIN@SF","MIN","SF","","","",""
"14344","QB","T.J.","Yates","1.6","1","5300","PHI@ATL","ATL","PHI","","","",""
"14237","TE","Kyle","Rudolph","5.2","9","5300","MIN@SF","MIN","SF","","","",""
"25410","QB","Mike","Glennon","15.9","6","5300","TEN@TB","TB","TEN","","","",""
"31047","QB","AJ","McCarron","0","0","5300","CIN@OAK","CIN","OAK","","","",""
"29003","RB","Ka'Deem","Carey","1.7","14","5300","GB@CHI","CHI","GB","","","",""
"21123","TE","Larry","Donnell","7.6","16","5300","NYG@DAL","NYG","DAL","","","",""
"28677","QB","Matt","McGloin","7.5","1","5300","CIN@OAK","OAK","CIN","","","",""
"21940","RB","Trent","Richardson","7","15","5200","CIN@OAK","OAK","CIN","","","",""
"14761","WR","Andre","Holmes","7.3","16","5200","CIN@OAK","OAK","CIN","Q","Hand","",""
"39455","RB","Kerwynn","Williams","5.3","5","5200","NO@ARI","ARI","NO","","","",""
"39492","TE","Josh","Hill","3.4","16","5200","NO@ARI","NO","ARI","","","",""
"22165","RB","Bryce","Brown","5.2","7","5200","IND@BUF","BUF","IND","P","Hamstring","",""
"22018","WR","Mohamed","Sanu","9.5","16","5200","CIN@OAK","CIN","OAK","","","",""
"14320","RB","Bilal","Powell","2.3","15","5200","CLE@NYJ","NYJ","CLE","Q","Ankle","",""
"11454","RB","Dexter","McCluster","3.6","14","5200","TEN@TB","TEN","TB","","","",""
"11436","QB","Tim","Tebow","0","0","5200","PHI@ATL","PHI","ATL","","","",""
"23045","K","Justin","Tucker","8.8","16","5200","BAL@DEN","BAL","DEN","","","",""
